Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Net_Difference
7/21/2011,21,July,2011,20,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 40",4,$420,$769,"$1,396","$1,680","$3,076",$284
12/18/2011,18,December,2011,35,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",4,$308,$565,"$1,028","$1,232","$2,260",$204
10/8/2011,8,October,2011,41,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",4,$420,$769,"$1,396","$1,680","$3,076",$284
3/3/2011,3,March,2011,28,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",4,$420,$769,"$1,396","$1,680","$3,076",$284
12/4/2011,4,December,2011,31,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",4,$420,$769,"$1,396","$1,680","$3,076",$284
7/19/2011,19,July,2011,26,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",4,$420,$769,"$1,396","$1,680","$3,076",$284
4/30/2011,30,April,2011,26,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",4,$420,$769,"$1,396","$1,680","$3,076",$284
9/14/2011,14,September,2011,36,Adults (35-64),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-500 Black, 42",4,$295,$540,$980,"$1,180","$2,160",$200
6/2/2011,2,June,2011,27,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",4,$420,$769,"$1,396","$1,680","$3,076",$284
10/30/2011,30,October,2011,51,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",4,$420,$769,"$1,396","$1,680","$3,076",$284
1/11/2011,11,January,2011,34,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 40",4,$295,$540,$980,"$1,180","$2,160",$200
5/30/2011,30,May,2011,35,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 42",4,$295,$540,$980,"$1,180","$2,160",$200
10/21/2011,21,October,2011,28,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",4,$420,$769,"$1,396","$1,680","$3,076",$284
10/11/2011,11,October,2011,44,Adults (35-64),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-500 Black, 42",4,$295,$540,$980,"$1,180","$2,160",$200
3/28/2011,28,March,2011,43,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
6/1/2011,1,June,2011,43,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
6/29/2011,29,June,2011,43,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
4/29/2011,29,April,2011,26,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
10/4/2011,4,October,2011,21,Youth (<25),F,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
3/12/2011,12,March,2011,60,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 44",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
11/30/2011,30,November,2011,60,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 44",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
6/11/2011,11,June,2011,37,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-650 Red, 48",4,$487,$783,"$1,184","$1,948","$3,132",$764
4/3/2011,3,April,2011,17,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-650 Red, 48",4,$487,$783,"$1,184","$1,948","$3,132",$764
5/17/2011,17,May,2011,54,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",4,$487,$783,"$1,184","$1,948","$3,132",$764
7/20/2011,20,July,2011,54,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",4,$487,$783,"$1,184","$1,948","$3,132",$764
10/16/2011,16,October,2011,47,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-650 Red, 60",4,$487,$783,"$1,184","$1,948","$3,132",$764
4/15/2011,15,April,2011,32,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",4,$487,$783,"$1,184","$1,948","$3,132",$764
3/7/2011,7,March,2011,36,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",4,$487,$783,"$1,184","$1,948","$3,132",$764
3/23/2011,23,March,2011,36,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",4,$487,$783,"$1,184","$1,948","$3,132",$764
5/4/2011,4,May,2011,36,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",4,$487,$783,"$1,184","$1,948","$3,132",$764
8/28/2011,28,August,2011,36,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",4,$487,$783,"$1,184","$1,948","$3,132",$764
4/5/2011,5,April,2011,30,Young Adults (25-34),M,United States,Washington,Bikes,Road Bikes,"Road-650 Red, 58",4,$487,$783,"$1,184","$1,948","$3,132",$764
4/22/2011,22,April,2011,30,Young Adults (25-34),M,United States,Washington,Bikes,Road Bikes,"Road-650 Red, 58",4,$487,$783,"$1,184","$1,948","$3,132",$764
4/23/2011,23,April,2011,30,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-650 Black, 58",4,$487,$783,"$1,184","$1,948","$3,132",$764
11/23/2011,23,November,2011,30,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-650 Black, 58",4,$487,$783,"$1,184","$1,948","$3,132",$764
7/22/2011,22,July,2011,23,Youth (<25),M,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
12/3/2011,3,December,2011,31,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-650 Black, 62",4,$487,$783,"$1,184","$1,948","$3,132",$764
6/24/2011,24,June,2011,44,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
3/18/2011,18,March,2011,42,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",4,$344,$540,$784,"$1,376","$2,160",$592
5/12/2011,12,May,2011,43,Adults (35-64),M,Australia,Queensland,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
1/28/2011,28,January,2011,19,Youth (<25),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
1/18/2011,18,January,2011,19,Youth (<25),M,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
4/6/2011,6,April,2011,19,Youth (<25),M,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
8/26/2011,26,August,2011,42,Adults (35-64),F,Germany,Hamburg,Bikes,Road Bikes,"Road-650 Black, 52",4,$487,$783,"$1,184","$1,948","$3,132",$764
12/12/2011,12,December,2011,47,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-650 Black, 44",4,$487,$783,"$1,184","$1,948","$3,132",$764
8/14/2011,14,August,2011,47,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 44",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
8/17/2011,17,August,2011,47,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 44",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
3/21/2011,21,March,2011,45,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 40",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
5/22/2011,22,May,2011,45,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 40",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
7/8/2011,8,July,2011,44,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
9/12/2011,12,September,2011,22,Youth (<25),M,Australia,Victoria,Bikes,Road Bikes,"Road-650 Black, 44",4,$487,$783,"$1,184","$1,948","$3,132",$764
5/24/2011,24,May,2011,35,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-650 Red, 60",4,$487,$783,"$1,184","$1,948","$3,132",$764
9/19/2011,19,September,2011,27,Young Adults (25-34),M,France,Seine (Paris),Bikes,Road Bikes,"Road-550-W Yellow, 38",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
11/7/2011,7,November,2011,56,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 44",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
12/28/2011,28,December,2011,45,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
4/12/2011,12,April,2011,28,Young Adults (25-34),M,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
8/1/2011,1,August,2011,26,Young Adults (25-34),M,Germany,Saarland,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
12/17/2011,17,December,2011,18,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
8/8/2011,8,August,2011,45,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
2/4/2011,4,February,2011,42,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-650 Red, 58",4,$487,$783,"$1,184","$1,948","$3,132",$764
5/6/2011,6,May,2011,51,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-650 Red, 52",4,$487,$783,"$1,184","$1,948","$3,132",$764
6/29/2011,29,June,2011,29,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 38",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
7/20/2011,20,July,2011,29,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-550-W Yellow, 38",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
4/23/2011,23,April,2011,27,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
2/23/2011,23,February,2011,32,Young Adults (25-34),M,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
8/29/2011,29,August,2011,42,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
2/7/2011,7,February,2011,40,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
6/5/2011,5,June,2011,40,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
9/25/2011,25,September,2011,40,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
6/29/2011,29,June,2011,20,Youth (<25),F,Australia,Queensland,Bikes,Road Bikes,"Road-750 Black, 44",4,$344,$540,$784,"$1,376","$2,160",$592
6/4/2011,4,June,2011,18,Youth (<25),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 44",4,$344,$540,$784,"$1,376","$2,160",$592
11/9/2011,9,November,2011,33,Young Adults (25-34),F,France,Hauts de Seine,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
7/21/2011,21,July,2011,32,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
6/28/2011,28,June,2011,56,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
10/3/2011,3,October,2011,46,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
2/3/2011,3,February,2011,27,Young Adults (25-34),F,Canada,British Columbia,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
2/22/2011,22,February,2011,30,Young Adults (25-34),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
5/16/2011,16,May,2011,30,Young Adults (25-34),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
8/4/2011,4,August,2011,30,Young Adults (25-34),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
8/14/2011,14,August,2011,30,Young Adults (25-34),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
3/13/2011,13,March,2011,33,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
3/15/2011,15,March,2011,25,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",4,$344,$540,$784,"$1,376","$2,160",$592
3/13/2011,13,March,2011,59,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
12/17/2011,17,December,2011,42,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
11/29/2011,29,November,2011,17,Youth (<25),F,Australia,Tasmania,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
10/28/2011,28,October,2011,54,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
2/2/2011,2,February,2011,28,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
3/24/2011,24,March,2011,28,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
11/27/2011,27,November,2011,28,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
10/28/2011,28,October,2011,27,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
6/4/2011,4,June,2011,27,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
5/14/2011,14,May,2011,34,Young Adults (25-34),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
8/29/2011,29,August,2011,32,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
6/21/2011,21,June,2011,48,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
2/14/2011,14,February,2011,36,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 44",4,$344,$540,$784,"$1,376","$2,160",$592
8/3/2011,3,August,2011,25,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
4/20/2011,20,April,2011,41,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
12/14/2011,14,December,2011,46,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
1/20/2011,20,January,2011,33,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",4,$344,$540,$784,"$1,376","$2,160",$592
9/12/2011,12,September,2011,33,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",4,$344,$540,$784,"$1,376","$2,160",$592
7/16/2011,16,July,2011,35,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 44",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
4/3/2011,3,April,2011,47,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 58",4,$344,$540,$784,"$1,376","$2,160",$592
4/22/2011,22,April,2011,29,Young Adults (25-34),F,Canada,British Columbia,Bikes,Road Bikes,"Road-550-W Yellow, 38",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
10/22/2011,22,October,2011,30,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
8/13/2011,13,August,2011,37,Adults (35-64),M,Germany,Saarland,Bikes,Road Bikes,"Road-550-W Yellow, 38",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
12/8/2011,8,December,2011,27,Young Adults (25-34),M,Australia,South Australia,Bikes,Road Bikes,"Road-550-W Yellow, 38",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
5/26/2011,26,May,2011,36,Adults (35-64),M,Australia,South Australia,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
9/19/2011,19,September,2011,25,Young Adults (25-34),F,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-550-W Yellow, 40",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
11/12/2011,12,November,2011,24,Youth (<25),F,Australia,Queensland,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
9/22/2011,22,September,2011,25,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 44",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
11/8/2011,8,November,2011,25,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 44",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
12/7/2011,7,December,2011,26,Young Adults (25-34),M,Australia,Queensland,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
12/16/2011,16,December,2011,48,Adults (35-64),F,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 58",4,$344,$540,$784,"$1,376","$2,160",$592
1/14/2011,14,January,2011,47,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 58",4,$344,$540,$784,"$1,376","$2,160",$592
12/3/2011,3,December,2011,47,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 58",4,$344,$540,$784,"$1,376","$2,160",$592
3/6/2011,6,March,2011,33,Young Adults (25-34),F,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-550-W Yellow, 42",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
11/11/2011,11,November,2011,17,Youth (<25),M,Australia,Queensland,Bikes,Road Bikes,"Road-650 Red, 58",4,$487,$783,"$1,184","$1,948","$3,132",$764
2/11/2011,11,February,2011,37,Adults (35-64),M,Germany,Bayern,Bikes,Road Bikes,"Road-550-W Yellow, 40",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
2/11/2011,11,February,2011,17,Youth (<25),M,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
2/15/2011,15,February,2011,27,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
11/23/2011,23,November,2011,27,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
4/1/2011,1,April,2011,26,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 44",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
5/27/2011,27,May,2011,50,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 44",4,$344,$540,$784,"$1,376","$2,160",$592
5/7/2011,7,May,2011,49,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
5/8/2011,8,May,2011,48,Adults (35-64),F,Australia,South Australia,Bikes,Road Bikes,"Road-750 Black, 58",4,$344,$540,$784,"$1,376","$2,160",$592
1/2/2011,2,January,2011,40,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 40",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
10/8/2011,8,October,2011,35,Adults (35-64),F,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
10/12/2011,12,October,2011,37,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
10/14/2011,14,October,2011,37,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 38",4,$713,"$1,120","$1,628","$2,852","$4,480","$1,224"
8/5/2011,5,August,2011,31,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
8/18/2011,18,August,2011,31,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 52",4,$344,$540,$784,"$1,376","$2,160",$592
4/1/2011,1,April,2011,19,Youth (<25),M,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 44",4,$344,$540,$784,"$1,376","$2,160",$592
6/8/2011,8,June,2011,19,Youth (<25),M,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 44",4,$344,$540,$784,"$1,376","$2,160",$592
7/6/2011,6,July,2011,39,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
12/2/2011,2,December,2011,39,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
8/7/2011,7,August,2011,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Road Bikes,"Road-650 Red, 44",4,$487,$783,"$1,184","$1,948","$3,132",$764
3/6/2011,6,March,2011,40,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 44",4,$344,$540,$784,"$1,376","$2,160",$592
3/14/2011,14,March,2011,23,Youth (<25),M,Australia,Queensland,Bikes,Road Bikes,"Road-750 Black, 58",4,$344,$540,$784,"$1,376","$2,160",$592
10/29/2011,29,October,2011,44,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 44",4,$344,$540,$784,"$1,376","$2,160",$592
1/8/2011,8,January,2011,40,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-650 Black, 48",4,$487,$783,"$1,184","$1,948","$3,132",$764
12/7/2011,7,December,2011,45,Adults (35-64),M,Germany,Hamburg,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
10/19/2011,19,October,2011,46,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 58",4,$344,$540,$784,"$1,376","$2,160",$592
8/6/2011,6,August,2011,26,Young Adults (25-34),M,Australia,South Australia,Bikes,Road Bikes,"Road-750 Black, 58",4,$344,$540,$784,"$1,376","$2,160",$592
12/12/2011,12,December,2011,27,Young Adults (25-34),M,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 58",4,$344,$540,$784,"$1,376","$2,160",$592
8/27/2011,27,August,2011,44,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
10/12/2011,12,October,2011,41,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 48",4,$344,$540,$784,"$1,376","$2,160",$592
